Method,F1 Score,Accuracy,Kappa,Confusion Matrix
ELMClassifier,0.7693535514764565,0.7669354838709678,0.5474269664624136,"[[938  74]
 [504 964]]"
KNeighborsClassifier,0.6660753880266075,0.6963709677419355,0.43096526018902004,"[[976  36]
 [717 751]]"
SGDClassifier,0.8409260642270351,0.8282258064516129,0.6579731164693999,"[[ 928   84]
 [ 342 1126]]"
SVC,0.8082862523540489,0.7947580645161291,0.5927169668138794,"[[ 898  114]
 [ 395 1073]]"
RandomForestClassifier,0.8518005540166205,0.8274193548387097,0.6453733896402416,"[[ 822  190]
 [ 238 1230]]"
ExtraTreesClassifier,0.8250377073906485,0.8129032258064516,0.6288881091456996,"[[ 922   90]
 [ 374 1094]]"
HistGradientBoostingClassifier,0.8534850640113798,0.8338709677419355,0.6625377835084234,"[[ 868  144]
 [ 268 1200]]"
XGBClassifier,0.8057498057498057,0.7983870967741935,0.6046301634025273,"[[ 943   69]
 [ 431 1037]]"
DLT 2018,0.8534452605806226,0.8190846286701209,0.6171233233432287,"[[ 677  211]
 [ 208 1220]]"
